,Unnamed: 0,comment
106,106,Pembahasan tentang kerajaan jawa sedang bertandang ke Jakarta untuk menguasai Indonesia. Hidup jawa....hidup jawa... hidup jawa✊✊✊
107,107,"Mulyono .. mulyono .. sadar umur tamat, tdk ada yg tau"
108,108,Mari kita bersatu dukung terus Si Dul Anak Betawi Dampingi Abah jakarta heboh 1 putaran saja yg lain pulang kampung hore hui
109,109,"Begini gini yg buat indonesia bisa pecah bela , buat negara baru urus dulu papau , ini sdh dlm pangkuan nkri ,sibuk dulu urus papua , sdh dpt 2 priode beium bersukur  juga , masah allah , ingat hisab akan kalian dpt bro"
110,110,Tempo kapan bahas pns semarang yg dibunuh? Beberapa taun lalu
111,111,yang menentukan menang dan kalah adalah rakyat bukan pengamat2 politik broo
112,112,"Gila si Anggit ini... Mainnya bawah tanah dah kayak agen, kayaknya hidupnya seru banget😂"
113,113,"quote 1 saja sebagai bahan renungan kita bersama...
di dalam Pasal 71 ayat (1) Undang Undang Nomor 10 Tahun 2016 tentang Pilkada.
menyatakan bahwa pejabat negara, pejabat daerah, pejabat aparatur sipil negara, anggota TNI/POLRI, dan kepala desa atau sebutan lain lurah, dilarang membuat keputusan dan/atau tindakan yang menguntungkan atau merugikan salah satu pasangan calon. Pelanggaran atas ketentuan tersebut akan dikenai sanksi pidana."
114,114,Parcok mengerikan
115,115,"Selama Prab's masih dibawah ketiak Mulyono Nipunegoro.  Maka semuanya bisa diutak-atik.
TUL GAK?
👇🤪"
116,116,"ternyata suara bs dibeli, pemilu bisa diatur asal logistik (duit) ada............ngapain ada demokrasi diindonesia ya??"
117,117,"Jokowi mau bersekutu sama siapa kek, kalau Anies+Ahok bersatu abis kalah suara Jokowi bahkan se-Indonesia gue yakin"
118,118,Karna jakarta tau mana yg berkualitas mana yg pencitraan klo tempat2 lain wajar bela2in dukung jokowi soalnya cuma tau pencitraanya aja baek2 aslinya busuk bgt.
119,119,"Astofirulloallazim. Saya suka opo sisi, tp dr mana opo sisi itu brasal. tp saya heran opo sisi itu g punya etika. Stla Pak jokowi purna tugas. Wah aslinya kluar klo panggil jokowi aja. g punya pendidikan apa lg kesopanan. Siapa mreka ini"
120,120,Apapun nanti tetap Abah 🫰🏼🫰🏼
121,121,Bacot doang 😂😂😂😂
122,122,WP wc pinggir jalan..???
123,123,Pak mantan yg paling sibuk di saat pensiun. Padahal. Diem momong cucu sj jauh lebih bahagia. Ga kekurangan apa2 juga.. artinya ini mmg kamaruk
124,124,"Pks terjebak oleh ""jebakan"" yg direncanakan kelompok oligarki. Oligarki berhasil pecah minimal jadi dua kubu pendukung ARB. Karena ua madih nanam orang² nya di dua kubu yg ""seakan"" diberseberangkan, kimplus dan pedeipeh !"
125,125,"RK belum menjabat aja udah keliatan sombongnya. Pendukung cuma 10 org dia gak mau dateng dongg, karna cuma dikit."
126,126,"keren neh nara sumber, ternyata mereka mengejar DUNIA dengan se-begitunya, padahal jabatan itu akan disesali saat di akherat, bila menjadi amanah, .. ternyata keluarga BEJAD itu masih punya tangan"
127,127,2029 . Anies  ahok ......... capres cawapres nya.
128,128,"kasian ya PKS, duit ga punya, punya loyalitas, tapi valuenya sekarang ga ada. eh ditinggal banyak pemilihnya,"
129,129,Jurnalis         garis lurus      maju terus
130,130,Jurnalisme hebat!
131,131,Pak Prabowo dan Pak Jokowi  kurang lebih  .pagi ngomong A sore  ngomong B  maap emang ahlak aga kurang
132,132,"Gempur habis cawe2 Jokowi,  jakarta bukan Jateng (partai coklat)."
133,133,"ADA APA DENGAN PETINGGI² WERENG DENGAN JOKO?!?
PETINGGI DAPAT RATUSAN MILYAR SERDADU PATUH UNTUK DIADU DENGAN ANAK² IBU"
134,134,Semoga PDIP menepati janjinya kpd Pak Anies.
135,135,"Ini kayanya kurang bisa memajukan Negara kita mengadi maju.
Karena apa sampai sekarang ternyata tidak berani melawan Penguasa dan kroni kroninya."
136,136,Jakawi  tetap  jadi panutan masarakat biarpun udah pensiun
137,137,Semoga Podcast bisa omon2
138,138,Mulai lah Antara KGB melawan CIA saling intel
139,139,Mudah2an usaha Yohanes Anis bisa digembleng lagi oleh PDIP
